Producto,Cantidad_miércoles_25_marzo,Precio,Cantidad_jueves_26_marzo,Viernes_27_marzo_se_compró,Martes_31_marzo_se_compró,Martes_31_marzo_se_sacó,Cantidad_miércoles_1_abril,Jueves_2_abril_se_compró,Jueves_2_abril_se_sacó,Cantidad_lunes_6_abril
Kinder delice,5,135,5,0,0,0,2,0,0,2
Turín avellana,3,150,3,0,0,0,3,0,0,3
Turín fresa,1,150,1,0,0,0,1,0,0,1
Turín original,1,150,1,0,0,0,1,0,0,1
Giselle 160g 16pz,3,65,3,0,0,0,3,0,0,3
Giselle 100g,1,44,1,0,0,0,1,0,0,1
Vallmond corazón grande 16pz,6,72,6,0,0,0,5,0,0,5
Vallmond corazón mediano 8pz,3,45,3,0,0,0,3,0,0,3
Vallmond corazón pequeño 3pz,5,25,5,0,0,0,4,0,0,4
Vallmond 12pz,4,65,4,0,0,0,4,0,0,3
Vallmond flor 5pz,1,35,0,0,0,0,0,0,0,0
Colosseo corazón pequeño 31g,2,35,2,0,0,0,2,0,0,2
Kiss grande 41.5g,3,30,3,0,0,0,3,0,0,3
Kisses 76g,2,65,2,0,0,0,2,0,0,2
Picard chocolate tequila,1,72,1,0,0,0,1,0,0,1
Picard chocolate licor de café,1,72,1,0,0,0,1,0,0,1
Gatucos 240g,2,110,2,0,0,0,2,0,0,2
Ferrero 24pz 300g,2,240,2,0,0,0,2,0,0,2
Ferrero 4pz 50g,1,49,1,0,0,0,1,3,0,3
Ferrero 10pz 125g,3,115,3,0,0,0,1,0,0,1
Ferrero 8pz 100g,3,90,3,0,0,0,3,3,0,3
M&M’s 6 pack,1,0,1,0,0,0,1,0,0,1
