Product,Quantity_Wednesday_25_March,Price,Quantity_Thursday_26_March,Purchased_Friday_27_March,Purchased_Tuesday_31_March,Removed_Tuesday_31_March,Quantity_Wednesday_1_April,Purchased_Thursday_2_April,Removed_Thursday_2_April,Quantity_Monday_6_April,sales_Quantity_Wednesday_25_March_to_Quantity_Thursday_26_March,sales_Quantity_Thursday_26_March_to_Quantity_Wednesday_1_April,sales_Quantity_Wednesday_1_April_to_Quantity_Monday_6_April,Category,purchase_price,price_source,unit_profit,total_sold,total_profit,dormant_capital,no_sales,daily_velocity,recommended_min_stock,needs_restock
Sol limón,4,16,2,7,0,2,8,10,0,9,2,3,9,Botanas,13.1,Ticket,2.9,14,40.6,0.0,False,1.17,3.51,False
Sol rifaditas,1,16,1,7,0,0,5,10,0,7,0,3,8,Botanas,13.1,Ticket,2.9,11,31.9,0.0,False,0.92,2.76,False
Sol original,2,16,2,8,0,1,7,0,0,0,0,4,7,Botanas,12.6,Ticket,3.4,11,37.4,0.0,False,0.92,2.76,True
Top tops moradas,2,15,2,5,0,0,5,10,0,10,0,2,5,Botanas,10.17,Ticket,4.83,7,33.81,0.0,False,0.58,1.74,False
Top tops salsa negra,5,15,5,5,0,0,3,10,0,6,0,7,7,Botanas,10.17,Ticket,4.83,14,67.62,0.0,False,1.17,3.51,False
Kinder delice,5,135,5,0,0,0,2,0,0,2,0,3,0,Chocolates,117.39,Estimated,17.61,3,52.83,0.0,False,0.25,0.75,False
Turín avellana,3,150,3,0,0,0,3,0,0,3,0,0,0,Chocolates,130.43,Estimated,19.57,0,0.0,391.29,True,0.0,0.0,False
Turín fresa,1,150,1,0,0,0,1,0,0,1,0,0,0,Chocolates,130.43,Estimated,19.57,0,0.0,130.43,True,0.0,0.0,False
Turín original,1,150,1,0,0,0,1,0,0,1,0,0,0,Chocolates,130.43,Estimated,19.57,0,0.0,130.43,True,0.0,0.0,False
Giselle 160g 16pz,3,65,3,0,0,0,3,0,0,3,0,0,0,Chocolates,56.52,Estimated,8.48,0,0.0,169.56,True,0.0,0.0,False
Giselle 100g,1,44,1,0,0,0,1,0,0,1,0,0,0,Chocolates,38.26,Estimated,5.74,0,0.0,38.26,True,0.0,0.0,False
Vallmond corazón grande 16pz,6,72,6,0,0,0,5,0,0,5,0,1,0,Chocolates,62.61,Estimated,9.39,1,9.39,0.0,False,0.08,0.24,False
Vallmond corazón mediano 8pz,3,45,3,0,0,0,3,0,0,3,0,0,0,Chocolates,39.13,Estimated,5.87,0,0.0,117.39,True,0.0,0.0,False
Vallmond corazón pequeño 3pz,5,25,5,0,0,0,4,0,0,4,0,1,0,Chocolates,21.74,Estimated,3.26,1,3.26,0.0,False,0.08,0.24,False
Vallmond 12pz,4,65,4,0,0,0,4,0,0,3,0,0,1,Chocolates,56.52,Estimated,8.48,1,8.48,0.0,False,0.08,0.24,False
Vallmond flor 5pz,1,35,0,0,0,0,0,0,0,0,1,0,0,Chocolates,30.43,Estimated,4.57,1,4.57,0.0,False,0.08,0.24,True
Colosseo corazón pequeño 31g,2,35,2,0,0,0,2,0,0,2,0,0,0,Chocolates,30.43,Estimated,4.57,0,0.0,60.86,True,0.0,0.0,False
